Payment Denial Reason,fraud
"PATIENT NAME MISMATCH IN USG REPORT, HENCE CLAIM IS BEING REJECTED ",1
-NA-,1
"AS THE MAIN CLAIM CASE/PS1/HOSP3P58568/PS298227 WAS REJECTED, HENCE THE CLAIM FOR CT MRI IS ALSO BEING REJECTED AS THE CLAIM FOR CT MRI SHOULD BE CLUBBED WITH MEDICAL PACKAGE AND MEDICAL PACKAGE HAS BEEN REJECTED",0
REJECTED DUE TO DELAYED CLAIM SUBMISSION AFTER 15 DAYS OF PATIENT DISCHARGE,0
Reject ,1
"Claim is submitted after 15 days of Discharge of the patient, therefore claim has been rejected.",1
PACKAGE WRONGLY BLOCKED HENCE THIS CLAIM REJECTED,0
Delayed or no query reply,1
"Discharge documents submitted after 16 days of discharge, TAT of 15 days for submission of claims is passed out, Hence claim is not Payable",1
REJECTED AS ORAL MEDICATION GIVEN,0
"Claim is submitted after 30 days of Discharge of the patient, therefore claim has been rejected. ",1
REJECTED AS WRONG PACKAGE BLOCKED,0
rejected as claim is submitted after 30 days of Discharge of the patient,1
REJECTED AS CLAIM SUBMITTED AFTER 15 DAYS OF DISCHARGE ,1
"reject as Claim is submitted after 30 days of Discharge of the patient, ",1
"As per TMS Claim is submitted after 15 days of discharge of the Patient, therefore claim have been rejected as instructed by IC",1
"Claim is submitted after 30 days of Discharge of the patient, therefore claim has been rejected as per SHA INSURER instructions",1
"Claim is submitted after 30 days of Discharge of the patient, therefore claim has been rejected.",1
"CLAIM WAS SUBMITTED AFTER MORE THAN 30 DAYS OF DISCHARGE,HENCE CLAIM IS BEING REJECTED",1
REJECTED AS CLAIM SUBMITTED AFTER 15 DAYS OF DISCHARGE,1
DISCHARGE LESS THAN 24 HOURS. HENCE REJECTED.,0
REJECTED AS CLAIM SUBMITTED AFTER 15 DAYS OF DEATH,0
"CLAIM SUBMITTED 15 DAYS AFTER DISCHARGE ,HENCE REJECTED  ",1
CLAIM SUBMITTED AFTER 30 DAYS OF PATIENT DISCHARGE HENCE REJECTED ,1
REJECTED DUE TO MISMATCHED PACKAGE BLOCKED.,0
"DISCHARGE UPDATED MORE THAN 15 DAYS,HENCE REJECTED ",1
CLAIM REJECTED AS SURGICAL AND MEDICAL PACKAGE CAN NOT BE CLUBBED TOGETHER,0
"Claim is submitted after 15 days of Discharge of the patient, therefore claim has been rejected",1
"After repeated query raised,OT note and post operative X ray film not provided,hence rejected",1
DISCHARGE UPDATED MORE THAN 15 DAYS HENCE REJECTED ,1
"Documentation : Delayed or non-submission of claim (as per state guidelines), paid by patient",0
REJECTED AS WRONG PACKAGE BLOCKED...ENDOSCOPY NOT PAYABLE UNDER THIS PACKAGE,0
QUERY NOT REVERTED HENCE REJECTED ,1
REJECTED AS ENDOSCOPY ARE NOT COVERED UNDER THIS PACKAGE,0
REJECTED AS ALREADY PAID FOR THE SAME UNDER THIS ID CASE/PS1/HOSP3G58475/PS303398 ,1
Delay in claim submission two months,1
mismatch in package blocked and in discharge summary hence rejected ,0
POST OP USG/HPE REPORT NOT ATTACHED HENCE REJECTED ,1
CLAIM REJECTED AS TAT OF 15 DAYS FOR SUBMISSION OF CLAIM IS PASSED OUT,1
"Claim is submitted after 30 days of Discharge of the patient, therefore claim has been rejected",1
REJECTED AS CECT /ENDOSCOPY CHARGES ARE NOT COVERED UNDER THIS PACKAGE ,0
DISCHARGE NOT UPDATED BY HOSPITAL WITH IN 30 DAYS FROM DISCHARGE DATE HENCE REJECTED.,1
AS PER TMS CLAIM SUBMITTED 15 DAYS OF DISCHARGE OF PT,1
rejected as after 15 days tat,1
The claim stands rejected as there should be subsequent admission for medical treatment and standalone diagnostic package is not payable.,0
DISCHARGE NOT UPDATED BY HOSPITAL WITHIN 15 DAYS FROM DISCHARGE DATE HENCE REJECTED.,1
REJECTED AS AFTER 30 DAYS TAT,1
DISCHARGE NOT UPDATED BY HOSPITAL WITH IN 15 DAYS FROM DISCHARGE DATE HENCE REJECTED.,1
REJECTED AS SAME PACKAGE BLOCKED FOR SAME DOA IN SAME HOSPITAL FOR SAME PATIENT UNDER CASE/PS1/HOSP3P12536/PS323190 ..,0
Case is already booked under surgical package case no. CASE/PS1/HOSP3G77043/PS289932. Hence surgical and medical case can not be booked at same time,0
AS QUERY IS ALREADY ASKED FOR POST OP HPE REPORT AND IT IS NOT PROVIDED EVEN AFTER ASKING FOR 2 TIMES. HENCE REJECTED.,1
"Claim is submitted after 15 days of Discharge of the patient, therefore claim has been rejected as per SHA INSURER instructions",1
as per  documents provided  query reply  surgery not done hence rejected  ,1
REJECTED AS PREAUTH WAS INITIATED AFTER PROCEDURE WAS DONE,1
claim rejected as already same package paid under case id CASE/HOSP3P10675/FS204112,1
ALCOHOL AND ITS RELATED DISEASES ARE NOT PAYABLE  AS PER THE POLICY TERMS AND CONDITIONS HENCE REJECTED,0
CASE REJECTED AS 15 DAYS TAT NOT COVERED FOR POST OP COMPLICATION,1
"Pre-Auth is initiated after 5 days of admission and also after discharge of the Patient, therefore claim have been rejected",1
"As per the claim history, the patient has been hospitalized under the same package from 23rd Jan to 29th Jan under CASE/HOSP3P65870/PS255781. Hence the claim is rejected.",1
"Claim is submitted after 15days of discharge of patient,Hence rejected",1
Case is rejected as per the instruction by SHA,1
WRONG PACKAGE BLOCKED AS PACKAGE BLOCKED FOR BLOOD TRANSFUSION BUT BT HAS NOT DONE AND  MRI INVESTIGATION DONE UNDER BLOOD TRANSFUSION PACKAGE HENCE REJECTED,0
REJECTED AS Claim is submitted after 15 days of Discharge of the patienT,1
"The claim is blocked under General medicine which should be blocked only along with a related medical package, the CPD stands rejected.",0
SAME PACKAGE APPROVED AND SETTLED ON 13TH FEB.,1
"Pre-Auth is initiated after 5 days of admission and also after discharge of the Patient, hence rejected ",1
REJECTED DUE TO DELAY SUBMISSION OF CLAIM MORE THEN 30 DAYS,1
"Claim is submitted after 30days of discharge of patient,Hence rejected",1
"Claim is submitted after 15 days of Discharge of the patient, therefore claim has been rejected. ",1
REJECTED AS CLAIM SUBMITTED AFTER 15 DAYS,1
"Claim is submitted after 30 days of Discharge of the patient, hence rejected",1
"As per TMS Claim is submitted after 15 days of discharge of the Patient, therefore claim  rejected as per IC instructions",1
rejected as claim is submitted after 15 days of Discharge of the patient.,1
REJECTED AS WRONG PACKAGE BLOCKED FOR DIALYSIS,0
ALCOHOLIC AND ITS RELATED DISEASES ARE NOT PAYABLE AS PER THE POLICY TERMS AND CONDITIONS,0
Incomplete submission of documents by hospital after multiple queries,1
CLAIM SUBMITTED AFTER 15 DAYS HENCE REJECTED  ,1
AS PER TMS CLAIM IS SUBMITTED AFTER 15 DAYS DISCHARGE OF THE PT,1
rejected as claim is submitted after 30 days of Discharge of the patient.,1
REJECTED AS AFTER 15 DAYS TAT ,1
"Pre-Auth is initiated after 5 days of Admission and also after Discharge of the Patient, therefore claim has been rejected.",1
REJECTED AS ALCOHOL AND RELATED AILMENTS ARE NOT PAYABLE AS PER POLICY EXCLUSIONS,0
" As per the clinical notes diagnosis is chronic alcohol, this is exclusion as per the scheme, hence rejected",0
REJECTED AS PREAUTH INITIATED AFTER DISCHARGE,1
REJECTED AS PLEURAL TAP IS NOT COVERED UNDER THIS PACKAGE,0
PRE AUTH INITIATED AFTER PATIENT DISCHARGE  HENCE REJECTED,1
"As per TMS Claim is submitted after 15 days of discharge of the Patient, hence rejected",1
"Pre-Auth is initiated after 5 days of Admission and also after Discharge of the Patient, hence rejected",1
"Surgery Not done, Pt Referred to Other Hospital, Hence claim is not Payable",0
PREAUTH INITIATED AFTER 5 DAYS TAT HENCE REJECTED ,1
REJECTED AS PER THE TREATMENT CHART ORAL MEDICATION GIVEN WHICH IS NOT PAYABLE AS PER THE POLICY TERMS AND CONDITIONS,0
"Already a package taken CASE/PS1/HOSP3G62650/PS297562,need for this package is not justified,Hence rejected",0
REJECTED AS ORAL MEDICATION IS GIVEN,0
"Claim is submitted after 15 days of Discharge of the patient, hence rejected",1
CLINICAL PHOTO OF THE PATIENT DOES NOT JUSTIFY THE HOSPITAL ADMISSION,1
Less then 24 hours admission not justified hence rejected,0
DISCHARGE SUMMARY DIAGNOSIS SAYS ALD. PLEASE REVERT WITH CLARIFICATION WITH TREATING DOCTOR SEAL AND SIGN DISCHARGE SUMMARY DIAGNOSIS SAYS ALD. PLEASE REVERT WITH CLARIFICATION WITH TREATING DOCTOR SEAL AND SIGN DISCHARGE SUMMARY DIAGNOSIS SAYS ALD. PLEASE REVERT WITH CLARIFICATION WITH TREATING DOCTOR SEAL AND SIGN ,0
REJECTED AS CECT CHARGES ARE NOT COVERED UNDER THIS PACKAGE REJECTED AS CECT CHARGES ARE NOT COVERED UNDER THIS PACKAGE ,0
Less then 24hours admission not justified hence rejected,0
REJECTED AS BLOCKED PROCEDURE IS NOT PAYABLE UNDER THIS PACKAGE,0
"CLAIM SUBMITTED 15 DAYS AFTER DISCHARGE ,HENCE REJECTED ",1
"REJECTED AS WRONG PKG BLOCKED,THIS PKG CAN BE CLUBBED ONLY WITH MEDICAL ADMISSION. PATIENT IS NOT UNDER MEDICAL ADMISSION.PKG TO BE BLOCKED UNDER SURGICAL",0
patient name harwindr singh but document provide dalip chand hence rejected.,1
CLAIM SUBMITTED AFTER 15 DAYS OF PATIENT DISCHARGE HENCE REJECTED ,1
ALREADY APPROVED ONE PACKAGE HENCE REJECTED ,0
FINAL BILL 14720 IS MORE THAN PREAUTH AMOUNT 12420 HENCE CLAIM BEING REJECTED,0
delayed submission of claims. hence rejected,1
REJECTED AS PER PROVIDED DOCUMENTS ORAL MEDICATION GIVEN,0
The claim submission is delayed by one month and hence rejected.,1
CLAIM REJECTED AS TAT OF 30 DAYS FOR SUBMISSION OF CLAIM IS PASSED OUT,1
REJECTED AS THIS PACKAGE TO BE CLUBBED ONLY DURING MEDICAL ADMISSION/PKG,0
REJECTED AS PER THE DISCHARGE SUMMARY THE PATIENT IS A CHRONIC ALCOHOLICS AND THE PREAUTH IS AUTO APPROVED AND ALCOHOLICS IS AN EXCLUSION IN PUNJAB . HENCE REJECTED.,0
"Mismatch in package taken and procedure done,hence rejected",0
"Claim submitted after 15 days of Discharge of the patient, Hence claim is not Payable",1
"Claim is submitted after 30days of discharge of the patient,hence rejected",1
"ot notes not attached for ligament repair, as per d/s and ot notes  DHS was done for Intertrochanteric Fracture and package for  (Intertrochanteric Fracture with  implant) is listed in package master for 17000, but hospital upload false final bill for 36300. hence claim is being rejected",0
"Claim submitted by hospital is more than 15 days after patient discharged, hence rejected",1
"Pre-Auth is initiated after 5 days of admission and also after discharge of the Patient, therefore claim have been rejected and as instructed by IC",1
REJECTED AS PROCEDURE AMOUNT INCLUSIVE IN SEVERE ANEMIA CASE TAKEN IN PAST HISTORY ON 24/2,0
MISMATCH PACKAGE HENCE REJECTED ,0
CLAIM REJECTED AS TAT OF 15 DAYS FOR SUBMISSION OF CLAIM IS PASSED OUT AS DOD WAS 21/1/2020 AND CLAIM SUBMITTED ON 11/02/2020 AFTER 21 DAYS OF DISCHARGE HENCE REJECTED.,1
Pre-Auth is initiated after 5 days of Admission and also after Discharge of the Patient. Hence rejected.,1
REJECTED AFTER 15 DAYS TAT ,1
"Pre-Auth is initiated after 5 days of admission and also after discharge of the Patient, therefore claim have been rejected ",1
"AS THE SAME PACKAGE IS PAID IN PAST IN  CASE/HOSP3P48986/PS233681, AS THIS PACKAGE IS ONLY PAYABLE IN ONE TIME FOR THE WHOLE FAMILY. HENCE REJECTED.",0
REJECTED AS PATIENT UNDER MEDICAL PACKAGE ON 21/1/2020..MEDICAL AND SURGICAL PACKAGE CANNOT BE CLUBBED,0
"PREAUTH TAKEN FOR  Blood and blood component transfusion, BUT FINAL BILL UPLOADED FOR ECHO, NOT BT NOTES ATTACHED, REJECT",0
DELAYED SUBMISSION OF THE CLAIM AFTER DISCHARGE DISCHARGE OF THE PATIENT HENCE REJECTED,1
Referred to another hospital before the surgery ,0
QUERY NOT REVERTED CLEAR VITAL CHART NOT PROVIDED HENCE CLAIM REJECT,1
Procedure not done hence rejected,0
query not reverted hence rejected.,1
Approved,0
"ENHANCEMENT TAKEN ON SAME DATE , CASE/HOSP3P71424/PS259888  HENCE REJECTED ",0
Query not reverted for vitals and treatment chart hence rejected,0
ALCOHOLIC AND SUBSTANCE ABUSE DISEASES AND ITS RELATED COMPLICATIONS ARE NOT PAYABLE AS PER THE POLICY TERMS AND CONDITIONS HENCE REJECTED,0
CLAIM SUBMITTED AFTER 15 DAYS (TAT PERIOD) OF DISCHARGE DATE HENCE CLAIM HAS BEEN REJECTED ,1
"Discharge documents submitted after 19 days of discharge, TAT of 15 days for submission of claims is passed out, Hence claim is not Payable",0
REJECT AS PER SHA DIRECTION ,1
PRE AUTH INITIATED AFTER THE PATIENT DISCHARGE HENCE REJECTED ,1
WRONG PACKAGE BLOCKED HENCE REJECTED,0
REJECTED AS PER DOCUMENTS PROVIDED ORAL MEDICATION GIVEN,0
CASE REJECTED AS PATIENT IN SURGICAL CASES NO MEDICAL PACKAGE CAN NOT BE CLUBBED,0
REJECTED AS CLAIM SUBMITTED AFTER 30 DAYS OF DISCHARGE,1
operation is not done,0
"As per document provide DOA is 19/2/2020,PurAuth is raised after 5days of admission of the patient,hence rejected",1
CLAIM SUBMITTED AFTER 30  DAYS OF PATIENT DISCHARGE HENCE REJECTED ,1
Approved  Rs 1235 for CT of upper abdomen,0
as per documents of patient procedure not done patient referred to another hospital hence rejected ,0
"ALREADY ONE PACKAGE HAS TAKEN FOR SEVERE ANEMIA CASE/PS1/HOSP3P10731/PS303022 ,BT INCLUDED IN SEVERE ANEMIA PACKEGE ,PROCEDURE AUTO APPROVED HENCE REJECTED ",0
CPD REJECTED,0
REJECTED AS MEDICAL AND SURGICAL PACKAGES CANNOT BE CLUBBED TOGETHER,0
Rejected due to delay in submission of claims beyond 15 days,1
AS PER TMS CLAIM IS SUBMITTED AFTER 30 DAYS OF DISCHARGE OF THE PT,1
Query not reverted hence rejected,1
REJECTED AS NCCT HEAD NOT COVERED UNDER THIS PKG,0
REJECTED AS ECHO CHARGES ARE NOT COVERED UNDER THIS PACKAGE,0
THE PROCEDURE FOR PACKAGE BLOCKED IS WRONG HENCE REJECTED,0
"ORAL CHEMOTHERAPY IS NOT PAYABLE, HENCE DENIED ",0
approve,0
medical management in  surgical package done. surgery NOT done,0
REJECTED AS PLANNED PROCEDURE DONE BEFORE PREAUTH APPROVAL,1
CASE REJECTED AS ALREADY CAG AMOUNT PAID IN PTCA,0
REJECTED AS MEDICAL MNGT FOR POST OP COMPLICATION TO BE COVERED IN SURGERY PACKAGE ITSELF,0
Claim submitted after 30 days of discharge hence rejected,1
REJECTED AS PREAUTH WAS  INITIATED AFTER DISCHARGE OF THE PATIENT,1
APPROVED FOR ADMISSION DAYS FOR WHICH APPROVAL AT PREAUTH IS TAKEN(APPROVED FOR 29TH...ENHANCEMENT WAS INITIATED AFTER DISCHARGE),0
REJECTED AS ORAL MEDICATION GIVEN AS PER DOCUMENTS PROVIDED,0
"BT NOTES AND FINAL BILL FOR BT NOT ATTACHED ,HENCE CLAIM IS BEING REJECTED",0
Rejected,1
DUPLICATE CLAIM SAME PCAKGE BLOCKED UNDER CASE ID CASE/PS1/HOSP3G61100/PS290282 ,0
"Discharge documents submitted after 21 days of discharge, TAT of 15 days for submission of claims is passed out, Hence claim is not Payable",1
Claim Submitted after 50 days of actual discharge of Pt Hence claim is not Payable,1
REJECTED AS HRCT CHARGES ARE NOT COVERED UNDER THIS PACKAGE,0
"no evidence of procedure done,hence rejected",1
REJECTED AS CLAIM IS SUBMITTED AFTER 30 DAYS OF DISCHARGE OF PATIENT,1
REJECTED AS CLAIM IS SUBMITTED AFTER 15 DAYS OF DISCHARGE OF PATIENT,1
"Pre-Auth is initiated after 5 days of Admission and also after Discharge of the Patient, therefore claim has been rejected. ",1
"DISCHARGE UPDATED MORE THAN 15 DAYS,HENCE REJECTED  ",1
Case rejected as Preauth initiated after 10 days of Discharge of Patient,1
AS PER TMS CLAIM IS SUBMITTED AFTER 15 DAYS DISCHARGE OF PT,1
"Pt Treated from 17th to 21st Feb 2020 but Package blocked on 25th Feb 2020 i.e after 4 days of actual discharge and 8 days of actual admission. Pre-Auth initiated after 5 days of Admission and also after Discharge of the Patient, Hence claim is not Payable",1
"Patient being admitted for medical management till 27th Jan and since dialysis should be blocked under medical management package and not under surgical package, the claim stands rejected.",0
REJECTED AS PREAUTH WAS INITIATED AFTER 5 DAYS OF ADMISSION AND AFTER DISCHARGE,1
rejected as claim is submitted after 15 days of Discharge of the patient. ,1
DISCHARGE NOT UPADATED BY HOSPITALS WITHIN 15 DAYS FROM DISCHARGE DATE . HENCE REJECTED.,1
"Claim submitted after 30 days of Discharge of the patient, Hence claim is not Payable",1
ALCOHOLIC AND ITS RELATED DISEASES ARE NOT PAYABLE AS PER THE POLICY TERMS AND CONDITIONS HENCE REJECTED,0
REJECTED AS PATIENT NOT UNDER MEDICAL ADMISSION..THIS PACKAGE TO BE CLUBBED WITH MEDICAL ADMISSION ONLY,0
"Claim is submitted after 15 days of discharge of the Patient, therefore claim can be rejected",1
REJECTED AS QUERY NOT REVERTED REGARDING VITALS AND DRUG CHART,1
"DOA 17/2/20, DOS 18/2/20, PREAUTH INITIATED ON 28 / 2/20 I.E. AFTER 10 DAYS OF Sx, DOD 29/2/20 BUT CLAIM INITIATED ON 27/3/20 I.E. AFTER MORE THAN 15 DAYS, HENCE CLAIM IS BEING REJECTED FOR DELAY PREAUTH AND DELAY SUBMISSION OF CLAIM",1
REJECTED AS PATIENT IS GIVEN ORAL MEDICATION AS PER DOCUMENTS PROVIDED,0
AS PER TMS CLAIM SUBMITTED AFTER 15 DAYS OF PATIENT DISCHARGE HENCE REJECTED  ,1
REJECTED AS PREAUTH RAISED AFTER 5 DAYS,1
"CLAIM SUBMITTED 30 DAYS AFTER THE DISCHARGE, HENCE DENIED ",1
"Claim is submitted by hospital is after 30days of discharge of patient,hence rejected",1
REJECTED AS PREAUTH INITIATED AFTER PROCEDURE IS DONE,1
REJECTED AS PATIENT UNDER MEDICAL PKG ..MEDICAL AND SURGICAL PKG CANNOT BE CLUBBED,0
"Claim is submitted after 15days of discharge of the patient,hence rejected",1
REJECTED AS PREAUTH WAS INITIATED AFTER DISCHARGE OF THE PATIENT,1
"Delayed submission of claims 30 days after the discharge of the patient, hence denied",1
query not revert hence reject.,1
NAME AND AGE MISMATCH IN D/S AND HD NOTES HENCE CLAIM IS BEING REJECTD,1
REJECTED AS ALTERNATE DAY TREATMENT IS GIVEN,0
REJECTED DUE TO DELAYED IN CLAIM SUBMISSION AFTER 15 DAYS OF PATIENT DISCHARGE,1
REJECTED AS PLEURAL FLUID EXAMINATION IS NOT COVERED UNDER THIS PACKAGE,0
already amount inclusive with DIALYSIS PACKAGE hence rejected ,0
"Claim is submitted after 15 days of Discharge of the patient, hence claim has been rejected. ",1
"reject as Claim is submitted after 15 days of Discharge of the patient,",1
PREAUTH INITIATED AFTER 5 DAYS OF ADMISSION AND AFTER DISCHARGE OF THE PATIENT HENCE REJECTED  ,1
Patient is a known alcoholic and is diagnosed with Megaloblastic anemia. Hence the claim stands rejected.,0
CLAIM REJECTED AS TAT OF 15 DAYS FOR SUBMISSION OF CLAIM IS PASSED OUT AS DOD WAS 14/01 /2020 AND CLAIM SUBMITTED ON 1/02/2020 AFTER 27 DAYS OF DISCHARGE HENCE REJECTED.,1
Surgery done prior to the approval and hence the claim stands rejected.,1
CLAIM REJECTED AS PATIENT EXPIRED BEFORE RADIOTHERAPY DONE,1
MAXIMUM AMOUNT PAID FOR TWIN 1 SAME BABY HENCE REJECTED,0
"High end radiological diagnostic (CT, MRI, Imaging including nuclear imaging) can only be clubbed with medical package. But patient is not registered under any medical package, hence claim is being rejected",0
REJECTED AS PROCEDURE IS DONE BEFORE THE APPROVAL AS THIS IS NOT AN EMERGENCY CASE,0
Pls Provide Delivery Notes,0
REJECTED AS PREAUTH INITIATED AFTER 5 DAYS,1
DISCHARGE IS LESS THAN 24 HOURS.HENCE REJECTED.,0
REJECTED DUE TO PROCEDURE WAS ABANDONED AS PER THE DISCHARGE SUMMARY ,0
CLAIM REJECTED AS TAT OF 15 DAYS FOR SUBMISSION OF CLAIM IS PASSED OUT AS DOD WAS 15/01/2020 AND CLAIM SUBMITTED ON 01/02/2020 AFTER 16 DAYS OF DISCHARGE HENCE REJECTED. ,1
RECOVERY AMOUNT RS.9000 DEDUCTED.,0
REJECTED AS CECT /ECHO  CHARGES ARE NOT COVERED UNDER THIS PACKAGE,0
"After repeated query raised mortality audit(annexure  5)form not provided,Hence rejected",0
"CLAIM SUBMITTED 1 MONTH AFTER THE DISCHARGE, HENCE DENIED",1
ALREADY PAST HISTORY  APPROVED ONE PACKAGE HENCE REJECTED ,0
PREAUTH INITIATED AFTER 5 DAYS ADMISSION AND DISCHARGE  OF THE PATIENT HENCE REJECTED ,1
REJECTED AS NO SURGERY HAS BEEN DONE,0
REJECTED AS ALTERNATE DAYS TREATMENT WAS GIVEN,0
"Claim is submitted after 30 days of Discharge of the patient, Hence claim is not Payable",1
"QUERY IS ASKED FOR POST OP X RAY AND CLINCIAL PHOTGRAPH OF THE PATIENT AND IT WAS NOT PROVIDED EVEN AFTER ASKING FOR MANY TIMES , HENCE REJECTED.",1
REJECTED AS POST OP COMPLICATION WILL BE COVERED UNDER SURGICAL PACKAGE WITHIN 15 DAYS ,1
"HD DONE BEFORE MORE THAN 5 DAYS OF PREAUTH , REJECT",1
REJECTED AS DOCUMENTS NOT PROVIDED,1
HOSPITAL HAS OPTED FOR PLANNED PROCEDURE AND PROCEDURE DONE BEFORE APPROVAL HENCE REJECTED AS NO PROPER JUSTIFICATION GIVEN,1
PREAUTH AS BEEN REJECTED HENCE CASE REJECTED,1
QUERY IS ASKED FOR POST OP KUB X RAY FILM FOR THIS CASE AS IT IS A MANDATORY DOCUMENTS WHICH IS NOT GIVEN AND QUERY IS NOT REPLIED PROPERLY . HENCE REJECTED.,1
package mismatch.,0
Rejected as the submission is after 15 days,1
"REJECTED AS Claim is submitted after 15 days of Discharge of the patient,",1
"Claim is submitted after 30 days of Discharge of the patient, claim has been rejected. ",1
CLAIM REJECTED AS SURGERY NOT DONE,0
REJECTED AS PREAUTH INITIATED AFTER DISCHARGE OF PATIENT,1
OPD converted into IPD (Justification for admission not found) Hospitalization less than 24 hours,0
AS THIS PACKAGE IS PAYABLE WITH THE MEDICAL PACKAGE TAKEN IN CASE/PS1/HOSP3P10731/PS304792. HENCE REJECTED.,0
"Claim submitted 15 days after discharge, hence denied ",1
REJECTED AS POST OP BLOOD TRANSFUSION IS COVERED IN SURGERY PACKAGE ,0
REJECTED AS PACKAGE BLOCKED FOR VITRECTOMY WITH RETINAL DETACHMENT BUT OT NOTES PROVIDED FOR TYMPANOPLASTY,0
"Query not reverted, post op x ray film not provided, hence rejected",1
delayed submission of claim from date of discharge,1
CLAIM REJECTED AS TAT OF 15 DAYS FOR SUBMISSION OF CLAIM IS PASSED OUT AS DOD WAS 13/01 /2020 AND CLAIM SUBMITTED ON 4/02/2020 AFTER 22 DAYS OF DISCHARGE HENCE REJECTED. CLAIM REJECTED AS TAT OF 15 DAYS FOR SUBMISSION OF CLAIM IS PASSED OUT AS DOD WAS 13/01 /2020 AND CLAIM SUBMITTED ON 4/02/2020 AFTER 22 DAYS OF DISCHARGE HENCE REJECTED. ,1
REJECTED AS PRE AUTH INITIATED AFTER 5 DAYS,1
REJECTED AS WRONG PACKAGE BLOCKED..SURGICAL MNGT DONE UNDER MEDICAL PACKAGE,0
REJECTED AS APPROVAL FOR ECHO AND HRCT CANNOT BE GIVEN UNDER THIS PACKAGE,0
REJECTED AS OVERWRITTING OF DATE HAS DONE IN DIALYSIS CHART,1
REJECTED AS CT ABDOMEN NOT COVERED UNDER THIS PKG,0
REJECT AS PER SHA DIRECTION,1
CT under GA is payable under the blocked package and hence the claim is rejected.,0
AS PER PAST CLAIM HISTORY PACKAGE CASE/PS1/HOSP3P49877/PS324566 FOR CHOLECYSTECTOMY TAKEN HENCE CLAIM REJECTED BECAUSE 5 DAYS PRE OPERATIVE PERIOD IS INCLUDED IN SURGICAL PACKAGE ,0
"FINAL BILL AMOUNT 44000 IS MORE THAN PREAUTH AMOUNT 17600, PACKAGE FOR CARPAL TUNNEL SYNDROME IS LISTED IN PACKAGE MASTER FOR 10000, REJECT",0
"Claim is submitted after 30 days of Discharge of the patient,hence rejected",1
DISCHARGE NOT UPADATED BY HOSPITALS WITHIN 30 DAYS FROM DISCHARGE DATE . HENCE REJECTED.,1
CPD REJECTED SINCE TREATMENT OF ANEAMIA IS ITSELF BLOOD TRANSFUSION,0
"Claim is submitted by hospital is after 15 days of Discharge of the patient,Hence rejected. ",1
THE PROCEDURE FOR PACKAGE IS WRONGLY BLOCKED HENCE THIS CLAIM IS REJECTED,0
