Payment Denial Reason,fraud
Preauth initiated after 5 days of admission and after discharge hence rejected,1
"procudere auto approved ,blocked for bt but  bt is included in severe anemia package ,severe anemia package already taken CASE/HOSP3P66049/PS244021 hence rejected ",0
REJECTED AS TAT WINDOW OF PREVIOUS PACKAGE IS NOT COMPLETED,0
AS PER AUDIT REMARKS NO SPECIALISAT AVAILABLE HENCE REJECTED ,1
HD CHART PROVIDED IS NOT OF THE SAME DATE AS THAT OF HEMODIALYSIS HENCE REJECTED ,1
"As per TMS Claim is submitted after 15 days of discharge of the Patient, therefore claim can be rejected",1
"rejected as surgery not done as per ot notes , it is done on 22/2  for which ppd already approved in past history on 17/2 ",0
"CLAIM REJECTED AS Diseases, illness or injury due to or arising from use, CLAIM REJECTED AS Diseases, illness or injury due to or arising from use, CLAIM REJECTED AS Diseases, illness or injury due to or arising from use, misuse or abuse of drugs or alcohol or use of intoxicating substances, or such abuse or addiction NOT PAYABLE HENCE REJECTED ",1
REJECTED AS PREAUTH WAS INITIATED AFTER DISCHARGE,1
The claim has been rejected as the note given by Doctor about Alcohol Dependency.As per NHA its is exclusion of scheme,0
HD PACKAGE BLOCKED UNDER GENERAL MEDICINE INSTEAD OF SURGERY AS PATIENT IS NOT ADMITTED UNDER ANY OTHER MEDICAL PACKAGE HENCE REJECTED,0
AS PER TMS CLAIM IS SUBMITTED AFTER 15 DAYS OF DISCHARGE OF PT ,1
"No evidence of treatment done,hence rejected",1
already pkg approved on same date hence rejected,0
REJECTED DUE TO DELAYED CLAIM SUBMISSION AFTER 15 DAYS OF PATIENT DISCHARGE ,1
REJECTED AS PREAUTH WAS AFTER  DISCHARGE,1
CLAIM REJECTED AS NO PROCEDURE DONE,0
REJECTED AS HOSPITAL OPTED PLANNED PROCEDURE AND PREAUTH WAS INITIATED AFTER PROCEDURE IS DONE,1
Rejected as the submission is 2 month late,1
"Claim is submitted after 30 days of Discharge of the patient, therefore claim has been rejected. Claim is submitted after 30 days of Discharge of the patient, therefore claim has been rejected. ",1
"As per TMS Claim is submitted after 15 days of discharge of the Patient, therefore claim have been rejected and as instructed by IC",1
DELAYED SUBMISSION OF THE CLAIM FROM DISCHARGE DATE HENCE REJECTED ,1
REJECTED AS PATIENT IS DEPENDENT ON ALCOHOL,0
"REJECTED s per TMS, Pre-Auth is initiated after 5 days of admissio",1
REJECTED AS PREAUTH IS INITIATED AFTER DISCHARGE OF THE PATIENT,1
REJECTED AS PER TREATMENT CHART AND D/S ORAL MEDICATION GIVEN,0
"Claim is submitted after 30days of discharge of the patient,hence rejected ",1
REJECTED AS MEDICAL AND SURGICAL PACKAGE CAN NOT BE CLUBBED TOGETHER,0
Duplicate claim CASE/HOSP3P25404/PS242935 hence rejected,1
PREAUTH REJECTED HENCE CASE REJECTED,1
"REJECTED AS Claim is submitted after 30 days of Discharge of the patient,",1
REJECTED AS MEDICAL MNGT  POST OP COMPLICATIONS TILL 15 DAYS ARE COVERED UNDER SURGERY PACKAGE ITSELF,0
approved ,0
REJECTED AS APPROVAL FOR CONSERVATIVE MNGT CANNOT BE GIVEN UNDER U100,0
AS PER THE DISCHARGE SUMMARY THE PATIENT IS REFERRED TO SOMEOTHER HOSPITAL AND THE SURGERY IS NOT PERFORMED IN THIS HOSPITAL AND HENCE THE PACKAGE TAKEN IS NOT JUSTIFIED. HENCE REJECTED.,0
CKD patient cant block this pkg kindly raise fresh preauth with pkg code S100214,0
DICHARGE IS LESS THAN 24 HOURS. HENCE REJECTED.,1
DELAYED SUBMISSION OF THE CLAIM FROM DISCHARGE DATE HENCE REJECTED,1
"Already multiple severe anemia package taken CASE/HOSP3P27593/PS249609, so BT also included in that package, so rejecting this claim",0
REJECTED AS APPROVAL FOR MEDICAL MNGT CANNOT BE GIVEN UNDER U100,0
DELAYED CLAIM SUBMISSION FROM DISCHARGE DATE HENCE REJECTED ,1
REJECTED AS CLAIM IS SUBMITTED AFTER MORE THAN 30 DAYS,1
"After repeated query raised post operative X ray film not provided,Hence rejected",1
"As per the past history same package done for same eye (R/E), claim already paid, so this package not justified, hence rejected",1
"PREAUTH REJECTED, HENCE CASE REJECTED. ",1
"CASE/HOSP3P81794/PS250490 Surgical package booked, admission included in surgical package, Duplicate claim",1
delayed submission of documents,1
"AS PER TMS CLAIM IS SUBMITTED AFTER 15 DAYS OF DISCHARGE OF THE PT,THERE FORE CLAIM HAVE BEEN REJECTED",1
Reject (As per clinical on bed photo no active IV drip),1
REJECTED AS HOSPITAL HAS OPTED FOR PLANNED PROCEDURE AND PROCEDURE DONE BEFORE APPROVAL,1
Rejected as the submission is after 30 days.,1
REJECTED AS PREAUTH WAS INITIATED AFTER 5 DAYS OF DOA(14/2/2020 MENTIONED IN D/S) ,1
"Discharge documents submitted after 43 days of discharge, TAT of 30 days for submission of claims is passed out, Hence claim is not Payable",1
"Delayed submission of claims 30 days after the discharged, hence denied",1
REJECTED AS PACKAGE WRONGLY BLOCKED,0
"As per the summary, surgery not done, hospital has taken special case type, so rejecting this claim (LAMA before surgery amount is 0)",0
AS PER TMS CLAIM SUBMITTED AFTER 15 DAYS OF THE PATIENT DISCHARGE HENCE REJECTED AND PROVIDE HD CHART ALSO NOT OF 15/2/2020 ,1
"AS PER THE AUDIT REMARKS, NO SPECIALIST IS AVAILABLE. HENCE REJECTED.",1
as per tms claim submitted after 15 days of patient discharge hence rejected ,1
"Claim is submitted by hospital is after 30days of Discharge of patient,Hence rejected. ",1
"Delayed submission of claims, documents submitted 15 days after the discharge, hence denied",1
"Discharge documents submitted after 17 days of discharge, TAT of 15 days for submission of claims is passed out, Hence claim is not Payable",1
"Discharge date is 29 Feb 2020. Claim submitted after 15 days of Discharge of the patient, Hence claim is not Payable",1
REJECTED AS CLAIM IS SUBMITTED AFTER 30 DAYS,1
SURGICAL AND MEDICAL PACKAGE CAN NOT BE CLUBBED TOGETHER,0
"PREAUTH WAS INITIATED ONE DAY BEFORE DISCHARGE AND PATIENT WAS ON ORAL MEDICATION AS PER DOCUMENTS GIVEN ON 2ND,HENCE REJECTED",1
"As per TMS Claim is submitted after 15 days of discharge of the Patient, hence rejected ",1
REJECTED AS PATIENT IS ON ORAL MEDICATION,0
QUERY NOT REVERTED BY THE HOSPITAL HENCE REJECTED.,1
rejected. as per the given reply from hospital BT not done ,1
REJECTED AS PER POLICY CLAIM RAISED AFTER 15 DAYS TAT PERIOD,1
REJECTED AS WRONG PACKAGE BLOCKED..CT CHARGES ARE NOT COVERED UNDER THIS PACKAGE ,0
Delay in claim submission for more than two months,1
REJECTED AS PRE AUTH INITIATED AFTER 5 DAYS OF ADMISSION,1
REJECTED AS PREAUTH WAS INITIATED AFTER 5 DAYS OF ADMISSION,1
"Claim is submitted after 30days of discharge of patient,hence rejected ",1
"Pre-Auth is initiated after 5 days of admission and also after discharge of the Patient, therefore claim can be rejected",1
"Already package taken CASE/HOSP3G81986/PS185138,again is not justified,hence rejected",1
Rejected as the submission is 3 month late,1
"As per TMS Claim is submitted after 15 days of discharge of the Patient, therefore claim have been rejected",1
REJECTED AS UGI ENDOCSCOPY IS NOT COVERED UNDER THIS PACKAGE,0
REJECTED AS ON REPEATED QUERIES REQUESTED DOCUMENTS WERE NOT PROVIDED...ON BED PHOTO NOT GIVEN,1
"Claim is submitted after 15 days of Discharge of the patient(death),hence rejected",1
REJECTED AS INSTEAD OF REPEATED REMINDERS HOSPITAL HAS NOT PROVIDED REQUIRED DOCUMENTS HENCE REJECTED,1
Patient has been referred to PGI hospital for the surgery. Hence the surgery package is rejected.,0
REJECTED AS PREAUTH IS INITIATED(23/1/2020) AFTER DISCHARGE(21/1/2020 MENTIONED ONLINE) OF THE PATIENT,1
"reject .as already one package as taken CASE/HOSP3P14357/PS252896 nephrostomy percutaneous , in that medical package also included  ,with in a 3 days of the surgery  again medical  package not payable  . hence rejected ",1
AS Par package mismatched diagnosis hence reject,0
"REJECT .AS ALREADY ONE PACKAGE APPROVED ON SAME DAY 23/1/2020 CASE/HOSP3G81950/PS255284 ,PROCEDURE AUTO APPROVED. HENCE REJECTED ",1
 CLAIM REJECTED AS TAT OF 15 DAYS FOR SUBMISSION OF CLAIM IS PASSED OUT AS DOD WAS 15/01 /2020 AND CLAIM SUBMITTED ON 31/01/2020 AFTER 16 DAYS OF DISCHARGE HENCE REJECTED. ,1
"CLAIM ALREADY PAID ON SAME DATE CASE/HOSP3P12536/PS253081,HENCE REJECTED ",1
"MISMATCH IN PACKAGE BLOCKED AND IN PROVIDED DOCUMENTS ,A BLOCKED FOR BT AND PROVIDED ENDOSCOPY REPORT ,PROCEDURE AUTO APPROVED .HENCE REJECTED ",1
"Claim is submitted after 15 days of Discharge of the patient,hence rejected",1
"Discharge documents submitted after 18 days of discharge, TAT of 15 days for submission of claims is passed out, Hence claim is not Payable",1
REJECTED AS PATIENT WAS ON MEDICAL ADMISSION..MEDICAL AND SURGICAL PACKAGE CANNOT BE CLUBBED,0
REJECTED AS PATIENT IS DRUG ADDICTED,0
FINAL BILL 30275 IS MORE THAN PREAUTH AMOUNT 18000 HENCE CLAIM BEING REJECTED,0
CLAIM REJECTED AS NO PROCEDURE HAS DONE,1
REJECT AS NO Evidence PROVIDED ,1
DISCHARGE IS LESS THAN 24 HOURS HENCE REJECTED.,1
claim rejected as no procedure done ,1
Reject as the claim submission is beyond 1 month period,1
"As per the summary diagnosis is drug abuse, this is exclusion as per the scheme, hence rejected",0
REJECTED AS PREAUTH IS INITIATED AFTER PROCEDURE IS DONE,1
"Its a case of Alcohol Liver disease, As per Guidelines Diseases arising from Alcohol and other drugs abuse are not Payable",0
"Delay submission of claims, reserved package booked under Unspecified package without proper referral ",1
"Claim submitted 15 days after the discharge, hence denied",1
PRE AUTH INITIATED AFTER THE PATIENT DISCHARGE HENCE REJECTED,1
REJECTED AS DAY TO DAY TREATMENT IS NOT GIVEN,0
"As per the past history severe anemia package already paid CASE/HOSP3P70163/PS239335, so BT also included in that package, Hence rejecting this package",1
"As per the clinical notes diagnosis is chronic alcohol, this is exclusion as per the scheme, hence rejected",0
DISCHARGE UPDATED AFTER 15 DAYS HENCE REJECTED ,1
"As per the clinical notes mentioned as patient is in drunken state, fall suddenly, and diagnosis is alcoholic. So this is exclusion as per the scheme, hence rejected",0
REJECTED AS LESS THAN 24 HRS ADMISSION FOR SURGICAL PROCEDURE ..AS PER POLICY TERMS AND CONDITIONS 24 HRS HOSPITALIZATION TO BE COMPLETED,1
"CLAIM INITIATED AFTER MORE THAN 15 DAYS OF D/ S, REJECT",1
REJECTED AS CLAIM SUBMITTED AFTER 30 DAYS OF DISCHARGE ,1
REJECTED AS ALREADY SAME PACKAGE BLOCKED ON THIS DATE,0
QUERY NOT REVERTED HENCE REJECTED  ,1
"REJECTED AS STAT AND ORAL MEDICATION GIVEN,ADMITTED AND DISCHARGED ON SAME DAY,OPD TO IPD CONVERSIONS AS NOT ALLOWED AS PER POLICY TERMS AND  CONDITIONS",1
AS PER TMS CLAIM IS SUBMITTED AFTER 30 DAYS DISCHARGE OF THE PT ,1
REJECTED AS DRUG ABUSE AND RELATED AILMENTS ARE NOT PAYABLE AS PER POLICY EXCLUSIONS,0
"INVESTIGATION REPORT AND ALL DAYS VITAL CHART NOT ATTACHED ,HENCE CLAIM IS BEING REJECTED",1
REJECTED AS PATIENT UNDER MEDICAL ADMISSION TILL DEATH 16/1/2020...MEDICAL AND SURGICAL PACKAGE CANNOT BE BLOCKED,0
Preauth Initiated after discharge of patient,1
CLAIM  SUBMITTED AFTER 15 DAYS OF PATIENT DISCHARGE HENCE REJECTED ,1
REJECTED AS ALTERNATE DAY TREATMENT WAS GIVEN,0
Duplicate claim CASE/HOSP3P58568/PS257213 already approved,1
"Pre-Auth is initiated after 5 days of Admission and also after Discharge of the Patient, therefore claim has been rejected",1
" Pre-Auth is initiated after 5 days of Admission and also after Discharge of the Patient, therefore claim has been rejected.",1
REJECTED AS POST OP 7 DAYS MEDICAL MANAGEMENT COVERED UNDER SURGICAL PACKAGE HENCE REJECTED,0
REJECTED SUE TO DELAYED CLAIM SUBMISSION AFTER 15 DAYS OF PATIENT DISCHARGE,1
REFERRAL SLIP WITH SIGN AND STAMP OF SMO OF DISTRICT HOSPITAL NOT PROVIDED ,1
"REJECT AS PER SHA DIRECTION,",1
"REJECTED , AS PER SHA DIRECTION",1
case rejected as wrong package blocked,0
"Discharge documents submitted after 32 days of discharge, TAT of 30 days for submission of claims is passed out, Hence claim is not Payable",1
"Claim submitted by hospital is more than 30 days after patient discharged, hence rejected",1
"Reject as the DJ stent removal is already present in stenting package, no separate charges are given for removal, as per new guideline by SHA",0
REJECTED AS CLAIM SUBMITTED AFTER 15 DAYS OF DISCHARGE AS INSTRUCTED BY IC,1
REJECTED AS MEDICAL AND SURGICAL PACKAGES CANNOT BE CLUBBED ,0
MEDICAL AND SURGICAL PACKAGES CANNOT BE CLUBBED HENCE REJECTED,0
KINDLY PROVIDE TREATMENT PLANS TILL DOA TO DOD ,0
AS PER THE DISCHARGE SUMMARY THE PATIENT IS ADMITTED IN THE HOSPITAL DUE TO LUMBAR PAIN AND AS PER THE USG REPORT THE GALL BALDDER IS NORMAL AND THE PATIENT IS REFERRED TO ANOTHER HOSPITAL FOR UROLOGICAL SURGERY. HENCE REJECTED.,0
"Claim is submitted after 15 days of discharge of the Patient, therefore claim have been rejected",1
Rejected alcohol related ,0
"NAME MISMATCH IN D/S AND HD NOTES, CLAIM IS BEING REJECTED",1
REJECTED AS SELECTED FOR PLANNED AND CT DONE BEFORE THE APPROVAL,1
REJECTED BECAUSE THE SAME IS COVER UNDER DJ STENT PACKAGE ONLY.,0
REJECTED AS PER POLICY TERMS AND CONDITIONS AS PREAUTH WAS INITIATED AFTER 5 DAYS OF ADMISSION,1
"Claim submitted  15days after DOD, hence denied",1
AS PER TMS CLAIM IS SUBMITTED AFTER 30 DAYS DISCHARGE OF PT,1
REJECTED AS SURGERY DONE UNDER MEDICAL PKG,0
rejected as surgical procedure done in medical management pacakge,0
Outside Scope of cover (Exclusions as per scheme),0
ct head not done due to headache hence rejected.,0
CKD patient cant block this package kindly raise fresh with package code hence rejected ,0
Reject as the submission is after 30 days,1
ALREADY APPROVED ONE PACKAGE HENCE REJECTED  ,0
CLAIM REJECTED AS PREAUTH INITIATED AFTER 5 DAYS OF ADMISSION AS TAT FOR  5 DAYS BACKDATE PREAUTH INITIATION HAS PASSED OUT HENCE REJECTED,1
REJECTED AS CECT CHARGES ARE NOT COVERED UNDER THIS PACKAGE,0
REJECTED AS MEDICAL AND SURGICAL PACKAGE PACKAGE CANNOT BE CLUBBED,0
MEDICAL(POST OP) COMPLICATIONS WITHIN 15 DAYS OF SURGERY ARE COVERED IN SURGICAL PKG ITSELF,0
REJECTED AS DRUG DEPENDENCE AND RELATED DISORDERS ARE NOT PAYABLE AS PER POLICY EXCLUSIONS,0
REJECTED DUE TO CLAIM SUBMITTED AFTER 30 DAYS ,1
Double lumen line insertion cannot be paid seperately hence rejected,0
"Mismatch in package taken,As the case is of neonatal,hence rejected",0
"Pre-Auth is initiated after 5 days of admission and also after discharge of the Patient, therefore claim can be rejected ",1
CLAIM SUBMITTED AFTER 30 DAYS OF DISCHARGE DATE HENCE CLAIM REJECTED,1
"As per IPD paper DOA is  24/2/2020,PreAuth is taken after 5days of admission of the patient,hence rejected",1
REJECTED AS echo  CHARGES ARE NOT COVERED UNDER THIS PACKAGE,0
"DISCHARGE UPDATED MORE THAN 15 DAYS ,HENCE REJECTED ",1
CLAIM REJECTED AS PATIENT ALREADY ADMITTED UNDER SURGICAL PACKAGE  DURING SAME PERIOD AND MEDICALAND SURGICAL PACKAGE CAN NOT BE CLUBBED TOGETHER HENCE REJECTED,0
REJECTED AS NO PROCEDURE HAS DONE,0
REJECTED AS PER DOCUMENTS PROVIDED PATIENT WAS ON ORAL MEDICATION,1
ALCOHOL/SUBSTANCE ABUSE AND ITS RELATED DISEASES ARE NOT PAYABLE AS PER THE TERMS AND CONDITIONS HENCE REJECTED ,0
"PLANNED Sx DONE BEFORE PREAUTH, REJECT",1
REJECTED AS PREAUTH IS INITIATED AFTER DISCHARGE OF THE PATIENT AND AS INSTRUCTED BY IC,1
REJECTED AS CLAIM IS SUBMITTED AFTER 30 DAYS OF DISCHARGE AS THIS WAS THE DAY CARE PROCESS,1
"Past history already surgery package taken CASE/PS1/HOSP3P59662/PS328388, so as per tender pre op medical expenses covered in surgery package, hence rejected",0
"Already package taken CASE/PS1/HOSP3G81086/PS323148,need for this package is not justified,hence rejected",1
PRE AUTH INITIATED AFTER DISCHARGE OF PATIENT HENCE CANNOT BE PAID,1
Rejected as the High End package is only payable when patient is adimtted in hospital for treatment. Single CT Scan claim  not payable. No DS,0
"already paid,hence rejected",1
Echo is not covered under this package and hence the claim is rejected.,0
"claim submitted 30 days after the discharge, hence denied",1
REJECTED AS MAXIMUM AMOUNT PAID UNDER THIS PACKAGE ALREADY UNDER CASE IDS CASE/HOSP3P12798/PS258250 AND CASE/HOSP3P12798/PS244143,0
"3 times query raised for POST op. Angiogram report, showing stent and POST Stent flow, but not reverted back, hence rejected",1
DISCHARGE IS NOT UPDATED BY HOSPITAL WITHIN 15 DAYS FROM DISCHARGE DATE HENCE REJETCED.,1
REJECTED AS CECT /ENDOSCOPY CHARGES ARE NOT COVERED UNDER THIS PACKAGE,0
REJECTED AS ECHO NOT COVERED UNDER THIS PACKAGE,0
"As per the clinical notes diagnosis is alcohol abuser, this is exclusion as per the scheme, hence rejected",0
CLAIM REJECTED AS TAT OF 15 DAYS FOR SUBMISSION OF CLAIM IS PASSED OUT AS DOD WAS 17/01 /2020 AND CLAIM SUBMITTED ON 5/02/2020 AFTER 18 DAYS OF DISCHARGE HENCE REJECTED.,1
REJECTED AS LAMA BEFORE SURGERY,1
REJECTED DUE TO THIS PACKAGE ONLY PAYABLE IF CLUBBED WITH MEDICAL PACKAGE,0
Rejected AS the diagnostic procedures are not allowed in this scheme as per Guideline by SHA,1
Claim submitted after 15 days of discharge hence rejected,1
QUERY IS ASKED FOR SCAR PHOTO AND POST OP X RAY FILM AND JUSTIFICATION BUT WHICH WAS NOT PROVIDED EVEN AFTER ASKING FOR 2 TIMES . HENCE REJECTED.,1
Query not reverted kindly Hence reject.,1
THE PACKAGE BLOCKED OS WRONG HENCE THIS CLAIM IS REJECTED,0
"Pre-Auth initiated after 5 days of Admission and also after Discharge of the Patient, therefore claim has been rejected.",1
HD NOTES NOT ATTACHED HENCE CLAIM IS BEING REJECTED,1
REJECTED AS PCT TEST IS NOT COVERED UNDER THIS PACKAGE,0
REJECTED AS MENTIONED IN D/S THAT PATIENT MANAGED CONSERVATIVELY,1
"Pre-Auth is initiated after 5 days of admission and also after discharge of the Patient, Hence claim is Not Payable",1
"delayed submission of claims, hence rejected",1
AS PER TMS CLAIM IS SUBMITTED AFTER 30 DAYS OF DISCHARGE OF THE PT ,1
REJECTED AS PER DIAGNOSIS..ALCOHOL WITHDRAWAL AND RELATED AILMENTS ARE NOT PAYABLE AS PER POLICY EXCLUSIONS,0
REJECTED AS PREAUTH WAS  INITIATED AFTER DISCHARGE OF PATIENT,1
CLAIM REJECTED AS TAT OF 15 DAYS FOR SUBMISSION OF CLAIM IS PASSED OUT AS CLAIM SUBMITTED  AFTER  18 DAYS OF DISCHARGE,1
AS THIS BLOOD TRANSFUSION PACKAGE IS ALREADY PAID WITH THE SEVERE ANAEMIA PACAKGE TAKEN IN PAST HISTORY IN CASE/PS1/HOSP3P68104/PS323769. HENCE THIS IS REJECTED .,0
QUERY NOT REVERTED ,1
CLAIM REJECTED AS MEDICAL AND SURGICAL PACKAGE CAN NOT BE CLUBBED TOGETHER,0
Claim submitted 15 days after discharge hence denied,1
REJECT. NO EVIDENCE OF HEPATORENAL DYSFUNCTION SYNDROME PROVIDED EVEN AFTER QUERY ,1
sign and stamp of district hospital smo in referral slip is not provided,1
REJECTED AS PATIENT IS UNDER SURGICAL PACKAGE TILL 19/2/2020..MEDICAL AND SURGICAL PACKAGE CANNOT BE CLUBBED,0
"MENTIONED SURGERY NOT DONE,POSTPONED,NOT PAYABLE,HENCE REJECTED ",1
QUERY NOT REVERTED KINDLY HENCE REJECTED.,1
Claim was submitted after 30 days of discharge hence rejected,1
Rejected as the submission is after 3o days ,1
AS ONE MORE PREAUTH INITIATED BLOCKING SAME FOE DOA 23/02/2020,1
"AS PER TMS CLAIM IS SUBMITTED AFTER 15 DAYS OF DISCHARGE OF PT, THEREFORE CLAIM HAVE BEEN REJECTED",1
REJECTED AS PRE AUTH INITIATED AFTER THE PATIENT DISCHARGE,1
Recovery of process paid claim,1
PATIENT WAS ON ORAL MEDICINE AND AS PER JUSTIFICATION PATIENT WAS ADMITTED FOR BT . ANOTHER  CLAIM FOR BT ALSO REGISTERED FOR SAME ADMISSION ,1
REJECTED AS ALREADY APPROVED FOR LSCS UNDER CASE/HOSP3G81150/PS253578 FOR SAME DOA,1
FINAL BILL 11473 IS MORE THAN PREAUTH AMOUNT 1800 HENCE CLAIM BEING REJECTED,1
Rejected as the submission period is Finished  for  Dialysis cases for Pvt Hospitals  (Discharged on 26/2 and submission on 20/3),1
"misuse or abuse of drugs or alcohol or use of intoxicating substances, or such abuse or addiction ARE NOT PAYABLE HENCE REJECTED",0
REJECTED AS PATIENT REFERRED TO ANOTHER HOSPITAL BEFORE DELIVERY ,1
REJECTED AS SURGERY NOT DONE,1
"Please block correct package, no any relative symptom of enteric fever . case of Renal/ uretric stone, so block according that package",0
Package Selection : Mismatch of package and disease/diagnosis/treatment/gender/age,0
REJECTED AS RADIOTHERAPY IS NOT GIVEN,1
Surgery is done prior to the approval and hence the claim stands rejected.,1
"PreAuth is raised after 5days of admission of the patient,hence rejected",1
REJECTED DUE TO LATE CLAIM SUBMISSION AFTER 15 DAYS OF PATIENT DISCHARGE,1
REJECTED AS DISCHARGE SUMMARY NOT PROVIDED,1
rejected as per hospital request,1
REJECTED AS PROCEDURE NOT COVERED UNDER THIS PACKAGE,0
"PPD approved for viral hepatitis, but in discharge summary diagnosis is ALD, so this is exclusion as per the scheme, hence rejected",0
REJECTED AS RADIOTHERAPY WAS NOT GIVEN,1
cpd rejected delayed submission of claims,1
"POST OP USG KUB X RAY WITH DJ STENT WAS NOT PROVIDED,HENCE REJECTED ",1
REJECTED AS HRCT IS NOT COVERED UNDER THIS PACKAGE,0
CLAIM SUBMITTED AFTER 15 DAYS OF DISCHARGE OF THE PATIENT HENCE CLAIM HAS BEEN REJECTED ,1
"DISCHARGE SUMMARY, FINAL BILL NOT ATTACHED, CLAIM REGISTERED ON 25/2/20 BUT PREAUTH INITIATED ON 1/3/20 , CLAIM IS BEING REJECTED",1
AS PER TMS CLAIM IS SUBMITTED AFTER 30 DAYS DISCHARGE OF THE PT,1
CLAIM REJECTED AS PATIENT WAS ONLY ON ORAL MEDICATION AND ALSO HOSPITALIZATION NOT JUSTIFIED PATIENT CAN BE MANAGED ON OPD BASIS AS PATIENT DOES NOT HAVE HIGH GRADE FEVER,1
PROCEDURE IS WRONGLY BLOCKED HENCE REJECTED,0
CLAIM REJECTED AS PATIENT REFER TO HIGHER CENTER FOR NON PROGRESSIVE LABOUR AND ND NOT DONE,1
 REJECTED AS CECT  CHARGES ARE NOT COVERED UNDER THIS PACKAGE,0
DISCHARGE IS LESS THAN 24 HOURS. HENCE REJECTED.,1
"AS PER THE  HOSPITAL REMARKS , COLOUR DOPPLER IS NOT DONE AND HENCE THE PACKAGE BLOCKED IS NOT DONE AND IS NOT JUSTIFIED. HENCE REJECTED.",1
FINAL BILL 21780 IS MORE THAN PREAUTH AMOUNT 11880 HENCE CLAIM BEING REJECTED,1
case rejected as laparoscopic chole selected and TAH done,0
REJECTED AS PREAUTH INITIATED AFTER 5 DAYS TAT,1
CASE/HOSP3G81129/PS260465 Duplicate claim,1
BT NOTES AND FINAL BILL FOR BT NOTES NOT FOUND HENCE CLAIM IS BEING REJECTED,1
DISCHARGE NOT UPADATED BY HOSPITALS WITHIN 15 DAYS FROM DISCHARGE DATE AND THE QUERY DOCUMENTS AE NOT PROVIDED EVEN AFTER ASKING FOR MULTIPLE TIMES AND THE DOCUMENT PROVIDE IS NOT JUSTIFYING THE PACKAGE BLOCKED . HENCE REJECTED.,1
"AS PER DISCHARGE SUMMARY,DIAGNOSIS MENTIONED AS ALD,IT WAS NOT MENTIONED IN PREAUTH DOCUMENTS,ALCOHOL IS EXCLUSION,HENCE REJECTED  ",0
REJECTED AS TREATING DOCTOR LETTER PROVIDED THAT HEPATOCELLULAR CA COULD BE DUE TO ALCOHOL ABUSE IN PATIENT,0
REJECTED AS HRCT  CHARGES ARE NOT COVERED UNDER THIS PACKAGE,0
REJECTED AS CLAIM SUBMITTED AFTER 30 DAYS OF DEATH,1
